local_id,terminal_code,name_vi,loai_hinh,parent_code,valid_from,valid_to,wikidata_qid,qid_status,match_status,candidate_qids,match_notes
w-1061137-base,09514,Xã Quảng Phú,Xã,264,,2025-06-30,,,deferred-historical,,
w-1061139-base,09520,Xã Lai Hạ,Xã,264,,2024-11-30,,,deferred-historical,,
w-1061141-base,09499,Xã An Thịnh,Xã,264,,2025-06-30,,,deferred-historical,,
w-1061143-base,09517,Xã Quang Minh,Xã,264,,2025-06-30,,,deferred-historical,,
w-1061145-base,09523,Xã Trung Chính,Xã,264,,2025-06-30,,,deferred-historical,,
w-1061147-base,09526,Xã Minh Tân,Xã,264,,2024-11-30,,,deferred-historical,,
w-1061149-base,09532,Xã Phú Lương,Xã,264,,2025-06-30,,,deferred-historical,,
w-1061151-base,09529,Xã Bình Định,Xã,264,,2025-06-30,,,deferred-historical,,
w-1061153-base,09535,Xã Lâm Thao,Xã,264,,2025-06-30,,,deferred-historical,,
w-1061201-base,09484,Xã Xuân Lai,Xã,263,,2025-06-30,,,deferred-historical,,
w-1061202-base,09454,Thị trấn Gia Bình,Thị trấn,263,,2025-06-30,,,deferred-historical,,
w-1061203-base,09457,Xã Vạn Ninh,Xã,263,,2025-06-30,,,deferred-historical,,
w-1061205-base,09460,Xã Thái Bảo,Xã,263,,2025-06-30,,,deferred-historical,,
w-1061207-base,09469,Xã Đại Lai,Xã,263,,2025-06-30,,,deferred-historical,,
w-1061209-base,09463,Xã Giang Sơn,Xã,263,,2025-06-30,,,deferred-historical,,
w-1061211-base,09487,Xã Đông Cứu,Xã,263,,2025-06-30,,,deferred-historical,,
w-1061213-base,09466,Xã Cao Đức,Xã,263,,2025-06-30,,,deferred-historical,,
w-1061215-base,09472,Xã Song Giang,Xã,263,,2025-06-30,,,deferred-historical,,
w-1061217-base,09478,Xã Lãng Ngâm,Xã,263,,2025-06-30,,,deferred-historical,,
w-1061219-base,09475,Xã Bình Dương,Xã,263,,2025-06-30,,,deferred-historical,,
w-1061221-base,09481,Thị trấn Nhân Thắng,Thị trấn,263,,2025-06-30,,,deferred-historical,,
w-1061223-base,09490,Xã Đại Bái,Xã,263,,2025-06-30,,,deferred-historical,,
w-1061225-base,09493,Xã Quỳnh Phú,Xã,263,,2025-06-30,,,deferred-historical,,
w-10615-2025-07-01,10615,Xã Hợp Tiến,Xã,31,2025-07-01,,Q10772383,existing,matched,Q10772382|Q10772383|Q10772384|Q10772385|Q10772386,qlever-label+current-province+batched-wbgetentities
w-10633-2025-07-01,10633,Xã Trần Phú,Xã,31,2025-07-01,,Q10829426,existing,matched,Q5965391|Q10829419|Q10829420|Q10829424|Q10829425|Q10829426|Q10829427,qlever-label+current-province+batched-wbgetentities
w-10642-2025-07-01,10642,Xã Thái Tân,Xã,31,2025-07-01,,Q10825787,existing,matched,Q10825787|Q10825788,qlever-label+current-province+batched-wbgetentities
